game_id,game_date,game_time,player_rating_post,player_whites,opponent_name,opponent_rating_post,opponent_result,opponent_country,opponent_joined,opponent_status,opponent_win,opponent_loss,opponent_draw,player_eco,player_move_1,player_move_2,player_move_3,player_move_4,player_move_5,opp_move_1,opp_move_2,opp_move_3,opp_move_4,opp_move_5,game_length,result,game_date_time,result_binary,result_multi_class,game_time_hour,game_day_of_week,opponant_tsj,opponant_all_games,player_point_change,player_rating_pre,cum_games_played,cum_games_today,cum_games_hour
4715991082,2020-04-13,10:25:00,619,1,IB85,801,win,IL,2016-06-21,basic,129.0,113.0,11.0,C23,e7e5,d8h4,h4e4,g8f6,e4c6,e2e4,f1c4,g1f3,d1e2,d2d3,33,checkmated,2020-04-13 10:25:00,0,0,10,0,1392,253.0,0.0,619.0,0,1,1
4716026808,2020-04-13,10:37:00,735,0,logjogjay,598,checkmated,GB,2020-04-05,basic,15.0,18.0,2.0,D00,d2d4,c2c3,g1f3,h2h4,e2e3,d7d5,e7e6,g8f6,b8c6,f8d6,34,win,2020-04-13 10:37:00,1,1,10,0,8,35.0,116.0,619.0,1,2,2
4716088562,2020-04-13,10:57:17,820,0,ThanasisIoannidis,707,resigned,GR,2019-08-15,basic,461.0,422.0,62.0,A25,c2c4,b1c3,d2d4,e2e3,g1f3,e7e5,b8c6,c6d4,d4c6,g8f6,14,win,2020-04-13 10:57:17,1,1,10,0,242,945.0,85.0,735.0,2,3,3
4716109886,2020-04-13,11:04:21,763,1,richjker,907,win,IE,2017-06-05,basic,22.0,33.0,3.0,C25,e7e5,d7d6,c8g4,g4f3,d8h4,e2e4,b1c3,g1f3,h2h3,g2f3,31,timeout,2020-04-13 11:04:21,0,0,11,0,1043,58.0,-57.0,820.0,3,4,1
4716173059,2020-04-13,11:24:47,703,0,aarindeepak17,803,win,IN,2020-04-12,basic,33.0,33.0,1.0,A00,e2e3,d2d3,b1c3,g1f3,e3e4,e7e5,d7d5,g8f6,b8c6,d5e4,36,checkmated,2020-04-13 11:24:47,0,0,11,0,1,67.0,-60.0,763.0,4,5,2
4716390136,2020-04-13,12:31:29,658,1,mostafa_owen22,780,win,EG,2017-01-18,basic,7.0,6.0,1.0,B00,a7a6,h7h6,g7g6,e7e6,d7d6,e2e4,f1c4,d1h5,h5e2,d2d4,51,resigned,2020-04-13 12:31:29,0,0,12,0,1181,14.0,-45.0,703.0,5,6,1
4716439776,2020-04-13,12:45:43,699,1,sexysempanzen,598,checkmated,US,2020-04-12,basic,20.0,25.0,4.0,B01,d7d5,d5e4,e7e5,f8c5,d8f6,e2e4,d2d3,d3e4,f1c4,d1h5,25,win,2020-04-13 12:45:43,1,1,12,0,1,49.0,41.0,658.0,6,7,2
4716470247,2020-04-13,12:54:23,672,0,gs430,836,win,AE,2019-11-22,basic,289.0,285.0,51.0,D02,d2d4,g1f3,f3e5,f2f3,d1d2,d7d5,g8f6,b8c6,c8f5,e7e6,15,checkmated,2020-04-13 12:54:23,0,0,12,0,143,625.0,-27.0,699.0,7,8,3
4716518982,2020-04-13,13:08:00,737,0,helloye7,576,abandoned,FR,2020-04-11,basic,0.0,2.0,0.0,C45,e2e4,g1f3,d2d4,f3d4,d1d4,e7e5,b8c6,e5d4,c6d4,g8f6,18,win,2020-04-13 13:08:00,1,1,13,0,2,2.0,65.0,672.0,8,9,1
4719804991,2020-04-14,05:39:41,747,0,Dare-re-ann,775,win,US,2020-04-14,basic,47.0,45.0,2.0,C25,e2e4,b1c3,f1c4,d1f3,g1h3,e7e5,b8c6,f8c5,g8f6,d7d6,21,checkmated,2020-04-14 05:39:41,0,0,5,1,0,94.0,10.0,737.0,9,1,1
